;account_id;district_id;frequency;account_date;# transactions;# credit in cash transactions;# credit card withdrawal transactions;# collection from another bank withdrawal transactions;# remittance to another bank withdrawal transactions;# withdrawal in cash transactions;# type = withdrawal transactions;# type = withdrawal in cash transactions;# type = credit transactions;avg transaction amount;avg balance
854;3171;61;monthly issuance;1993-09-28;179.0;1.0;;39.0;34.0;70.0;104.0;;75.0;2017.14;19639.9
855;228;5;monthly issuance;1993-09-28;249.0;42.0;;;69.0;99.0;168.0;;81.0;7222.92;39441.94
856;3618;29;monthly issuance;1993-09-29;246.0;43.0;;;68.0;96.0;164.0;;82.0;5756.67;35921.53
857;1016;40;monthly issuance;1993-09-29;257.0;42.0;;;68.0;108.0;176.0;;81.0;6716.42;48784.43
858;15;70;monthly issuance;1993-10-02;221.0;42.0;;;35.0;105.0;140.0;;81.0;6560.12;41623.99
859;3237;20;monthly issuance;1993-10-02;226.0;41.0;;;35.0;111.0;146.0;;80.0;6522.71;35619.21
860;1485;36;monthly issuance;1993-10-03;258.0;41.0;;;70.0;108.0;178.0;;80.0;7489.11;58209.32
861;7769;23;monthly issuance;1993-10-03;47.0;13.0;;;;27.0;24.0;3.0;20.0;10472.5;49143.97
862;2613;26;monthly issuance;1993-10-03;214.0;1.0;;39.0;70.0;65.0;135.0;;79.0;1717.56;21476.02
863;2201;8;monthly issuance;1993-10-05;253.0;1.0;;39.0;103.0;71.0;174.0;;79.0;914.93;17640.11
864;1896;74;monthly issuance;1993-10-05;240.0;65.0;;;35.0;102.0;130.0;7.0;103.0;12117.9;48925.03
865;5387;1;monthly issuance;1993-10-05;219.0;45.0;;;;135.0;135.0;;84.0;4002.46;30735.78
866;3535;1;monthly issuance;1993-10-05;180.0;1.0;;39.0;34.0;67.0;101.0;;79.0;1312.92;17576.61
867;1120;1;monthly issuance;1993-10-05;216.0;1.0;;38.0;68.0;75.0;143.0;;73.0;1860.48;18794.34
868;235;41;monthly issuance;1993-10-06;220.0;1.0;;39.0;70.0;71.0;141.0;;79.0;1116.74;21841.86
869;3701;76;monthly issuance;1993-10-06;188.0;1.0;;38.0;34.0;81.0;115.0;;73.0;2390.85;29341.17
870;1516;67;monthly issuance;1993-10-08;161.0;1.0;;38.0;34.0;54.0;88.0;;73.0;1467.01;23115.9
871;4543;33;monthly issuance;1993-10-08;172.0;45.0;;;;88.0;88.0;;84.0;2433.7;30721.14
872;2427;70;weekly issuance;1993-10-08;226.0;44.0;;;93.0;54.0;137.0;10.0;79.0;4743.67;26460.67
873;1981;64;monthly issuance;1993-10-08;202.0;1.0;;38.0;67.0;62.0;129.0;;73.0;1164.95;20801.21
874;8566;74;monthly issuance;1993-10-08;82.0;17.0;;;19.0;25.0;42.0;2.0;38.0;7188.85;27658.49
875;678;17;monthly issuance;1993-10-08;271.0;46.0;;;102.0;85.0;187.0;;84.0;2384.08;22656.77
876;4659;56;monthly issuance;1993-10-08;194.0;42.0;;;;115.0;100.0;15.0;79.0;11024.84;45063.15
877;4059;34;monthly issuance;1993-10-08;59.0;19.0;;;;19.0;19.0;;40.0;1386.46;20180.69
878;4013;73;issuance after transaction;1993-10-08;212.0;21.0;;38.0;34.0;81.0;106.0;9.0;97.0;4658.13;30277.78
879;7011;75;monthly issuance;1993-10-08;210.0;53.0;;;;118.0;105.0;13.0;92.0;9215.21;45012.86
880;2132;76;monthly issuance;1993-10-08;189.0;41.0;;;;109.0;109.0;;80.0;9617.35;49381.92
881;1816;44;monthly issuance;1993-10-08;178.0;1.0;;39.0;34.0;65.0;99.0;;79.0;1801.29;18048.26
882;2623;58;monthly issuance;1993-10-09;220.0;68.0;;;34.0;79.0;113.0;;107.0;2239.47;30722.91
883;2793;47;monthly issuance;1993-10-09;172.0;1.0;;38.0;34.0;65.0;99.0;;73.0;1443.49;19058.88
884;2479;18;monthly issuance;1993-10-09;280.0;50.0;;;103.0;88.0;191.0;;89.0;1997.61;21548.03
885;11135;75;monthly issuance;1993-10-10;13.0;6.0;;;;3.0;3.0;;10.0;8281.61;33229.11
886;8041;1;monthly issuance;1993-10-10;45.0;9.0;;;;23.0;23.0;;22.0;10991.5;43563.62
887;492;5;monthly issuance;1993-10-10;187.0;46.0;;;;102.0;102.0;;85.0;2628.0;32519.41
888;799;56;monthly issuance;1993-10-10;39.0;16.0;;;;15.0;15.0;;24.0;1834.58;16012.01
889;3972;51;monthly issuance;1993-10-11;255.0;41.0;26.0;;67.0;83.0;176.0;;79.0;5505.32;42065.9
890;1468;54;monthly issuance;1993-10-11;207.0;1.0;;38.0;68.0;66.0;134.0;;73.0;1111.33;16211.78
891;624;70;monthly issuance;1993-10-11;245.0;73.0;;;;133.0;122.0;11.0;112.0;14321.63;59680.03
892;3483;40;monthly issuance;1993-10-12;181.0;1.0;;38.0;34.0;74.0;108.0;;73.0;1315.6;17383.56
893;4260;56;monthly issuance;1993-10-14;42.0;3.0;;8.0;4.0;20.0;20.0;4.0;18.0;10168.95;38426.73
894;616;43;monthly issuance;1993-10-14;202.0;1.0;;38.0;33.0;95.0;128.0;;74.0;2536.73;26167.49
895;931;59;monthly issuance;1993-10-15;298.0;56.0;;;132.0;72.0;204.0;;94.0;1593.63;27674.63
896;102;11;monthly issuance;1993-10-16;160.0;36.0;;;28.0;62.0;83.0;7.0;70.0;5826.63;35251.06
897;540;75;monthly issuance;1993-10-16;233.0;91.0;;;;103.0;103.0;;130.0;2861.32;30561.05
898;2660;1;weekly issuance;1993-10-17;189.0;47.0;;;;110.0;105.0;5.0;79.0;11545.37;40135.48
899;4287;1;monthly issuance;1993-10-17;185.0;45.0;;;;102.0;102.0;;83.0;2883.34;31580.2
900;3551;6;monthly issuance;1993-10-17;268.0;17.0;;38.0;101.0;74.0;175.0;;93.0;1158.4;26956.09
901;2072;41;monthly issuance;1993-10-17;201.0;41.0;6.0;;33.0;83.0;122.0;;79.0;9769.62;60513.56
902;4119;77;monthly issuance;1993-10-18;186.0;65.0;;;;83.0;83.0;;103.0;1697.38;28745.95
903;1345;28;monthly issuance;1993-10-19;251.0;40.0;15.0;;66.0;92.0;173.0;;78.0;7290.91;54356.74
904;1565;36;monthly issuance;1993-10-20;277.0;59.0;;;100.0;80.0;180.0;;97.0;1861.34;30666.17
905;2824;11;monthly issuance;1993-10-20;43.0;11.0;;;5.0;19.0;24.0;;19.0;6392.97;37570.63
906;2052;61;monthly issuance;1993-10-20;277.0;43.0;1.0;;100.0;95.0;196.0;;81.0;2957.43;41677.52
907;1767;21;monthly issuance;1993-10-20;265.0;40.0;;;102.0;85.0;187.0;;78.0;5809.59;45334.3
908;2140;75;monthly issuance;1993-10-21;217.0;18.0;;38.0;33.0;90.0;123.0;;94.0;1513.59;24394.94
909;1051;35;monthly issuance;1993-10-21;180.0;41.0;;;;101.0;101.0;;79.0;5813.57;39175.64
910;3927;56;monthly issuance;1993-10-22;241.0;54.0;;;66.0;83.0;149.0;;92.0;1999.8;22689.63
911;2050;1;monthly issuance;1993-10-22;320.0;43.0;;;136.0;103.0;239.0;;81.0;4191.67;34846.2
912;2276;31;monthly issuance;1993-10-22;187.0;1.0;;38.0;34.0;80.0;114.0;;73.0;1776.66;29201.73
913;126;5;monthly issuance;1993-10-23;200.0;46.0;;;32.0;84.0;103.0;13.0;84.0;9800.16;44397.89
914;2859;11;monthly issuance;1993-10-23;231.0;64.0;;;;128.0;115.0;13.0;103.0;11944.36;49872.36
915;2667;23;monthly issuance;1993-10-23;180.0;1.0;;38.0;34.0;73.0;107.0;;73.0;1337.33;18067.21
916;1789;46;monthly issuance;1993-10-23;38.0;25.0;;;;13.0;13.0;;25.0;2110.53;29271.05
917;838;47;monthly issuance;1993-10-23;38.0;24.0;;;;14.0;14.0;;24.0;2242.11;26618.42
918;3264;70;monthly issuance;1993-10-23;193.0;1.0;;38.0;34.0;86.0;120.0;;73.0;1902.65;24204.25
919;198;70;monthly issuance;1993-10-25;195.0;1.0;;38.0;66.0;56.0;122.0;;73.0;1586.62;21570.35
920;2345;5;monthly issuance;1993-10-25;74.0;2.0;;13.0;9.0;37.0;42.0;4.0;28.0;7353.53;33658.62
921;5256;72;issuance after transaction;1993-10-25;29.0;12.0;;;;9.0;9.0;;20.0;16951.03;63579.22
922;40;64;monthly issuance;1993-10-25;234.0;47.0;;;68.0;81.0;149.0;;85.0;2476.46;24650.12
923;419;13;monthly issuance;1993-10-25;185.0;51.0;;;;96.0;96.0;;89.0;2273.04;26700.9
924;3892;43;monthly issuance;1993-10-25;180.0;1.0;;38.0;34.0;73.0;107.0;;73.0;1398.08;11465.86
925;1217;69;monthly issuance;1993-10-25;212.0;1.0;;38.0;68.0;71.0;139.0;;73.0;1065.33;16417.25
926;397;11;monthly issuance;1993-10-26;202.0;3.0;;38.0;;123.0;93.0;30.0;79.0;12585.32;46454.95
927;3146;68;monthly issuance;1993-10-26;207.0;16.0;;38.0;34.0;81.0;115.0;;92.0;1540.13;24339.42
928;287;16;monthly issuance;1993-10-27;216.0;1.0;;38.0;68.0;75.0;143.0;;73.0;1577.93;19607.47
929;2180;45;monthly issuance;1993-10-27;39.0;22.0;;;;17.0;17.0;;22.0;1964.1;18325.64
930;354;59;monthly issuance;1993-10-28;218.0;43.0;;;34.0;103.0;137.0;;81.0;4364.95;34595.92
931;259;2;monthly issuance;1993-10-28;226.0;1.0;;38.0;68.0;84.0;152.0;;74.0;2128.74;24529.29
932;1666;67;monthly issuance;1993-10-30;188.0;1.0;;38.0;33.0;81.0;114.0;;74.0;2306.52;27714.35
933;1495;36;monthly issuance;1993-11-01;247.0;40.0;5.0;;68.0;96.0;169.0;;78.0;8067.8;60243.78
934;2582;28;monthly issuance;1993-11-01;253.0;41.0;15.0;;67.0;92.0;174.0;;79.0;7080.88;50554.23
935;4470;16;monthly issuance;1993-11-01;210.0;3.0;;38.0;;131.0;100.0;31.0;79.0;15943.08;53973.79
936;1381;57;monthly issuance;1993-11-01;172.0;1.0;;38.0;33.0;62.0;95.0;;77.0;1727.34;18667.73
937;2435;38;monthly issuance;1993-11-01;231.0;53.0;;;34.0;107.0;130.0;11.0;90.0;11616.82;47330.62
938;542;1;monthly issuance;1993-11-01;168.0;1.0;;38.0;34.0;57.0;91.0;;77.0;1793.97;18041.28
939;1123;13;monthly issuance;1993-11-01;246.0;41.0;;;68.0;99.0;167.0;;79.0;5480.29;36258.56
940;3225;1;monthly issuance;1993-11-01;219.0;40.0;;;33.0;108.0;141.0;;78.0;7506.88;41274.58
941;1133;1;monthly issuance;1993-11-01;199.0;1.0;;38.0;67.0;55.0;122.0;;77.0;1669.55;15951.53
942;3086;1;monthly issuance;1993-11-02;205.0;40.0;;;33.0;94.0;127.0;;78.0;8328.62;52575.25
943;2250;35;monthly issuance;1993-11-02;208.0;41.0;1.0;;33.0;95.0;129.0;;79.0;8521.3;44390.94
944;340;1;monthly issuance;1993-11-03;236.0;1.0;;38.0;66.0;93.0;159.0;;77.0;1809.93;23232.87
945;4079;52;monthly issuance;1993-11-03;156.0;36.0;;;42.0;62.0;95.0;9.0;52.0;8573.48;49916.09
946;841;1;monthly issuance;1993-11-04;199.0;1.0;;38.0;34.0;88.0;122.0;;77.0;2053.75;25972.32
947;2269;6;monthly issuance;1993-11-04;210.0;47.0;;;33.0;92.0;125.0;;85.0;3958.34;29219.26
948;2867;30;monthly issuance;1993-11-04;214.0;40.0;;;33.0;103.0;136.0;;78.0;8024.37;49654.31
949;3371;68;monthly issuance;1993-11-04;246.0;67.0;;;36.0;105.0;123.0;18.0;105.0;12825.36;48285.2
950;520;60;monthly issuance;1993-11-04;169.0;1.0;;38.0;33.0;59.0;92.0;;77.0;1505.11;18961.78
951;743;10;monthly issuance;1993-11-05;176.0;1.0;;38.0;34.0;65.0;99.0;;77.0;1786.57;22866.94
952;3640;10;monthly issuance;1993-11-05;195.0;1.0;;38.0;33.0;85.0;118.0;;77.0;2463.16;20717.45
953;3354;63;monthly issuance;1993-11-05;46.0;11.0;;;10.0;17.0;27.0;;19.0;3932.5;30533.37
954;107;64;monthly issuance;1993-11-05;285.0;55.0;;;101.0;91.0;192.0;;93.0;2241.96;28546.06
955;243;55;weekly issuance;1993-11-06;235.0;65.0;;;31.0;103.0;126.0;8.0;101.0;13616.85;56138.36
956;3687;71;monthly issuance;1993-11-06;203.0;41.0;;;34.0;90.0;124.0;;79.0;4771.6;39603.25
957;1984;73;monthly issuance;1993-11-07;177.0;40.0;;;;99.0;99.0;;78.0;6014.81;46381.37
958;4173;1;monthly issuance;1993-11-08;101.0;19.0;;;;45.0;45.0;;56.0;2299.94;21402.2
959;2700;74;monthly issuance;1993-11-08;308.0;2.0;;37.0;132.0;100.0;219.0;13.0;76.0;7974.85;36824.79
960;2318;73;monthly issuance;1993-11-08;323.0;40.0;;;136.0;109.0;245.0;;78.0;5795.57;57155.1
961;7965;55;monthly issuance;1993-11-08;43.0;12.0;;;4.0;19.0;22.0;1.0;20.0;10433.44;47991.53
962;3352;42;monthly issuance;1993-11-08;234.0;55.0;;;66.0;75.0;141.0;;93.0;1815.02;23211.68
963;4255;70;weekly issuance;1993-11-08;203.0;2.0;;38.0;;125.0;111.0;14.0;78.0;14041.03;69594.31
964;73;72;monthly issuance;1993-11-08;218.0;41.0;23.0;;34.0;82.0;139.0;;79.0;7176.8;42345.82
965;3948;1;monthly issuance;1993-11-09;307.0;42.0;26.0;;129.0;73.0;228.0;;79.0;3918.41;36065.43
966;648;13;monthly issuance;1993-11-09;205.0;41.0;13.0;;33.0;81.0;127.0;;78.0;6777.79;50054.82
967;3688;70;monthly issuance;1993-11-10;186.0;40.0;;;;108.0;108.0;;78.0;6753.8;47291.2
968;462;29;monthly issuance;1993-11-10;212.0;39.0;;;32.0;104.0;136.0;;76.0;7825.49;40305.98
969;3243;1;monthly issuance;1993-11-10;179.0;1.0;;37.0;32.0;74.0;106.0;;73.0;2783.29;22210.42
970;8625;64;monthly issuance;1993-11-10;167.0;42.0;;;14.0;77.0;83.0;8.0;76.0;13867.85;68740.02
971;321;47;monthly issuance;1993-11-11;179.0;1.0;;37.0;32.0;75.0;107.0;;72.0;2015.29;23688.37
972;3548;23;monthly issuance;1993-11-11;179.0;1.0;;37.0;33.0;75.0;108.0;;71.0;2425.73;22074.3
973;5984;11;monthly issuance;1993-11-11;185.0;40.0;;;;107.0;107.0;;78.0;7080.34;38887.17
974;3091;3;monthly issuance;1993-11-11;245.0;40.0;;;65.0;103.0;168.0;;77.0;5150.09;45062.68
975;626;72;monthly issuance;1993-11-11;215.0;61.0;;;33.0;84.0;117.0;;98.0;2628.27;32001.51
976;998;47;monthly issuance;1993-11-11;213.0;39.0;;;33.0;103.0;136.0;;77.0;9524.86;45353.3
977;3326;5;monthly issuance;1993-11-11;190.0;49.0;;;;106.0;86.0;20.0;84.0;14243.51;48267.67
978;2457;76;monthly issuance;1993-11-11;197.0;51.0;;;33.0;76.0;109.0;;88.0;2544.76;24661.15
979;2549;74;monthly issuance;1993-11-12;198.0;1.0;;38.0;33.0;88.0;121.0;;77.0;2237.36;33418.32
980;1947;35;monthly issuance;1993-11-12;184.0;1.0;;37.0;33.0;79.0;112.0;;72.0;2611.07;30459.34
981;2738;41;monthly issuance;1993-11-12;240.0;40.0;;;66.0;97.0;163.0;;77.0;4788.8;28094.19
982;1809;1;weekly issuance;1993-11-12;265.0;12.0;;37.0;99.0;80.0;171.0;8.0;86.0;6374.1;32807.2
983;519;24;monthly issuance;1993-11-12;185.0;1.0;;37.0;32.0;81.0;113.0;;72.0;2678.87;25921.58
984;2665;61;monthly issuance;1993-11-13;245.0;98.0;;;;109.0;109.0;;136.0;2259.84;32192.36
985;1114;6;weekly issuance;1993-11-13;202.0;45.0;;;36.0;83.0;111.0;8.0;83.0;9264.24;38489.63
986;8957;1;monthly issuance;1993-11-13;235.0;48.0;;;;113.0;101.0;12.0;122.0;7736.27;35701.41
987;2271;68;monthly issuance;1993-11-13;169.0;1.0;;37.0;32.0;66.0;98.0;;71.0;1226.93;18240.22
988;196;4;monthly issuance;1993-11-14;295.0;43.0;11.0;;130.0;74.0;215.0;;80.0;3535.87;40249.13
989;3218;41;monthly issuance;1993-11-14;206.0;1.0;;37.0;64.0;71.0;135.0;;71.0;1090.63;17118.99
990;3660;74;monthly issuance;1993-11-14;225.0;97.0;;;;90.0;90.0;;135.0;2197.38;24282.34
991;787;10;monthly issuance;1993-11-14;228.0;49.0;;;65.0;77.0;142.0;;86.0;2551.01;20397.09
992;3820;1;monthly issuance;1993-11-14;211.0;49.0;;;33.0;92.0;125.0;;86.0;4737.05;36597.61
993;10906;76;monthly issuance;1993-11-14;235.0;50.0;;;;113.0;93.0;20.0;122.0;8819.1;41896.99
994;914;73;monthly issuance;1993-11-14;171.0;1.0;;37.0;32.0;68.0;100.0;;71.0;1413.13;15487.9
995;9656;61;monthly issuance;1993-11-14;165.0;48.0;;;17.0;81.0;87.0;11.0;67.0;14454.31;63889.87
996;1941;60;monthly issuance;1993-11-15;159.0;38.0;;;;84.0;84.0;;75.0;8337.2;40164.36
997;3617;22;monthly issuance;1993-11-15;278.0;38.0;;;99.0;104.0;203.0;;75.0;4547.19;52848.03
998;3370;49;monthly issuance;1993-11-15;194.0;7.0;;37.0;;113.0;97.0;16.0;81.0;10153.76;35952.53
999;1664;56;monthly issuance;1993-11-15;218.0;39.0;;;32.0;110.0;142.0;;76.0;8151.68;40196.22
1000;4337;29;monthly issuance;1993-11-16;64.0;19.0;;;;33.0;31.0;2.0;31.0;13410.82;52299.29
1001;2557;40;monthly issuance;1993-11-17;202.0;56.0;;;33.0;76.0;109.0;;93.0;2062.57;22658.31
1002;1527;31;issuance after transaction;1993-11-17;65.0;16.0;;;;37.0;30.0;7.0;28.0;11809.26;41752.16
1003;3938;57;monthly issuance;1993-11-17;199.0;38.0;;;32.0;92.0;124.0;;75.0;9223.65;53498.57
1004;1686;11;monthly issuance;1993-11-18;240.0;62.0;;;65.0;76.0;141.0;;99.0;1782.26;29431.93
1005;10670;60;monthly issuance;1993-11-18;297.0;79.0;;;;145.0;134.0;11.0;152.0;12944.68;69087.0
1006;3309;66;monthly issuance;1993-11-20;275.0;38.0;;;98.0;102.0;200.0;;75.0;4408.58;32280.97
1007;3107;5;monthly issuance;1993-11-20;183.0;1.0;;37.0;33.0;79.0;112.0;;71.0;2286.1;35194.28
1008;8377;29;monthly issuance;1993-11-20;74.0;22.0;;;8.0;25.0;33.0;;41.0;10583.99;58445.03
1009;345;5;monthly issuance;1993-11-20;214.0;42.0;;;32.0;103.0;135.0;;79.0;6130.64;36226.47
1010;498;1;monthly issuance;1993-11-21;178.0;38.0;;;;103.0;103.0;;75.0;9058.01;58191.9
1011;3571;39;monthly issuance;1993-11-21;239.0;55.0;;;65.0;82.0;147.0;;92.0;2184.75;26199.43
1012;5991;1;monthly issuance;1993-11-21;64.0;12.0;;;12.0;29.0;41.0;;23.0;5646.34;36039.05
1013;1128;74;monthly issuance;1993-11-21;185.0;1.0;;37.0;33.0;81.0;114.0;;71.0;2329.84;32392.31
1014;10439;66;monthly issuance;1993-11-21;28.0;1.0;;6.0;1.0;14.0;11.0;4.0;13.0;16935.55;53976.29
1015;1302;55;monthly issuance;1993-11-21;170.0;1.0;;37.0;32.0;67.0;99.0;;71.0;2526.42;20666.4
1016;10788;67;weekly issuance;1993-11-22;27.0;10.0;;;;5.0;5.0;;22.0;5645.47;32555.82
1017;4343;31;monthly issuance;1993-11-22;178.0;39.0;7.0;;;95.0;102.0;;76.0;6862.35;50850.97
1018;2460;1;monthly issuance;1993-11-22;179.0;46.0;;;;96.0;96.0;;83.0;3224.99;29269.27
1019;1931;20;monthly issuance;1993-11-23;266.0;49.0;;;97.0;83.0;180.0;;86.0;2938.1;23109.41
1020;2972;12;monthly issuance;1993-11-23;171.0;44.0;8.0;;;83.0;79.0;12.0;80.0;13166.27;53173.64
1021;1286;66;issuance after transaction;1993-11-23;282.0;80.0;;;35.0;129.0;147.0;17.0;118.0;14662.07;63835.46
1022;1235;76;monthly issuance;1993-11-23;198.0;1.0;;37.0;65.0;62.0;127.0;;71.0;1512.19;18746.97
1023;4385;23;monthly issuance;1993-11-23;192.0;58.0;;;;97.0;97.0;;95.0;2914.1;33324.41
1024;7449;1;monthly issuance;1993-11-24;201.0;47.0;;;;80.0;80.0;;121.0;2441.94;29737.37
1025;545;54;monthly issuance;1993-11-24;198.0;40.0;;;33.0;88.0;121.0;;77.0;4636.05;33736.41
1026;245;65;monthly issuance;1993-11-25;177.0;46.0;;;;95.0;79.0;16.0;82.0;8222.5;33763.89
1027;688;74;monthly issuance;1993-11-25;211.0;19.0;;37.0;33.0;85.0;118.0;;93.0;1545.16;26907.74
1028;173;66;monthly issuance;1993-11-26;30.0;7.0;;;8.0;10.0;18.0;;12.0;6642.55;38709.83
1029;10904;48;monthly issuance;1993-11-26;220.0;50.0;;;;96.0;96.0;;124.0;2221.11;20165.66
1030;7844;1;monthly issuance;1993-11-26;31.0;1.0;;7.0;;17.0;12.0;5.0;14.0;15002.82;50765.42
1031;6353;26;monthly issuance;1993-11-26;95.0;15.0;;;20.0;46.0;66.0;;29.0;7707.41;43846.98
1032;604;12;monthly issuance;1993-11-26;171.0;39.0;;;;95.0;95.0;;76.0;3897.79;33481.44
1033;6806;1;monthly issuance;1993-11-26;198.0;4.0;;37.0;;120.0;95.0;25.0;78.0;9859.34;40147.68
1034;5927;15;monthly issuance;1993-11-26;33.0;3.0;;6.0;;12.0;11.0;1.0;21.0;4041.38;28362.25
1035;2419;24;monthly issuance;1993-11-27;90.0;27.0;;;;50.0;46.0;4.0;40.0;16058.69;59701.79
1036;1288;11;monthly issuance;1993-11-27;194.0;1.0;;37.0;33.0;89.0;122.0;;72.0;2246.42;20008.65
1037;3003;18;monthly issuance;1993-11-27;95.0;21.0;;;;40.0;40.0;;55.0;3476.34;34696.28
1038;10131;1;monthly issuance;1993-11-27;15.0;3.0;;;;5.0;5.0;;10.0;6110.86;32702.73
1039;1952;70;monthly issuance;1993-11-28;179.0;39.0;;;;103.0;103.0;;76.0;6774.83;31106.93
1040;651;72;monthly issuance;1993-11-28;228.0;38.0;;;65.0;88.0;153.0;;75.0;6914.57;48918.11
1041;2989;4;monthly issuance;1993-11-28;162.0;1.0;;37.0;32.0;58.0;90.0;;72.0;2198.46;18009.54
1042;1499;47;monthly issuance;1993-11-28;210.0;60.0;;;33.0;80.0;113.0;;97.0;2643.98;29650.28
1043;426;1;monthly issuance;1993-11-29;61.0;19.0;;;10.0;25.0;29.0;6.0;26.0;11625.12;57340.51
1044;3570;44;monthly issuance;1993-11-29;212.0;62.0;;;32.0;81.0;113.0;;99.0;2727.43;31650.68
1045;4237;18;monthly issuance;1993-11-29;158.0;38.0;;;;83.0;75.0;8.0;75.0;12766.9;49573.02
1046;2739;59;monthly issuance;1993-11-29;221.0;43.0;;;66.0;75.0;141.0;;80.0;2597.33;22205.8
1047;4526;63;monthly issuance;1993-11-29;166.0;39.0;;;;90.0;90.0;;76.0;6002.3;26189.99
1048;1621;75;monthly issuance;1993-12-01;209.0;40.0;;;32.0;100.0;132.0;;77.0;6019.74;33070.6
1049;344;54;monthly issuance;1993-12-01;70.0;15.0;;;9.0;34.0;43.0;;27.0;5261.05;35614.74
1050;1359;8;monthly issuance;1993-12-02;73.0;21.0;;;;17.0;17.0;;56.0;1037.36;24615.77
1051;290;56;monthly issuance;1993-12-02;61.0;12.0;;;12.0;27.0;36.0;3.0;22.0;8953.22;49084.38
1052;66;48;issuance after transaction;1993-12-03;189.0;1.0;;37.0;;114.0;105.0;9.0;75.0;19013.19;66326.38
1053;1314;48;monthly issuance;1993-12-03;193.0;38.0;;;33.0;85.0;118.0;;75.0;6879.32;38474.51
1054;3145;4;monthly issuance;1993-12-03;192.0;1.0;;37.0;32.0;85.0;117.0;;75.0;2055.43;22403.32
1055;1204;29;monthly issuance;1993-12-03;240.0;38.0;;;66.0;99.0;165.0;;75.0;7762.18;52473.2
1056;437;43;monthly issuance;1993-12-03;246.0;38.0;;;65.0;106.0;171.0;;75.0;6839.91;64921.98
1057;2063;1;monthly issuance;1993-12-04;194.0;1.0;;37.0;33.0;86.0;119.0;;75.0;2122.4;27595.1
1058;3087;15;monthly issuance;1993-12-04;235.0;1.0;;37.0;97.0;63.0;160.0;;75.0;862.37;16643.7
1059;2588;5;monthly issuance;1993-12-04;208.0;39.0;;;33.0;99.0;132.0;;76.0;6720.95;40434.93
1060;956;74;monthly issuance;1993-12-05;192.0;63.0;;;;92.0;92.0;;100.0;2565.31;36855.62
1061;597;41;monthly issuance;1993-12-05;210.0;38.0;;;32.0;104.0;136.0;;74.0;7383.63;38390.34
1062;3129;5;monthly issuance;1993-12-05;200.0;1.0;;37.0;32.0;93.0;125.0;;75.0;2382.02;22491.62
1063;884;2;monthly issuance;1993-12-07;172.0;1.0;;37.0;32.0;65.0;97.0;;75.0;1351.39;17827.75
1064;4264;28;monthly issuance;1993-12-07;175.0;38.0;21.0;;;79.0;100.0;;75.0;9756.57;57594.39
1065;3223;1;monthly issuance;1993-12-07;179.0;36.0;;;;106.0;92.0;14.0;73.0;9991.07;45594.06
1066;737;34;monthly issuance;1993-12-08;166.0;1.0;;37.0;32.0;59.0;91.0;;75.0;1890.78;21952.5
1067;2306;38;monthly issuance;1993-12-08;241.0;41.0;;;64.0;100.0;164.0;;77.0;4282.35;34588.4
1068;1673;53;monthly issuance;1993-12-08;170.0;1.0;;36.0;31.0;70.0;101.0;;69.0;1821.28;15870.58
1069;10663;11;monthly issuance;1993-12-08;161.0;4.0;;22.0;35.0;79.0;105.0;9.0;47.0;12514.36;50676.82
1070;3345;22;monthly issuance;1993-12-08;179.0;1.0;;36.0;;110.0;110.0;;69.0;1704.54;9656.69
1071;1970;8;monthly issuance;1993-12-08;239.0;38.0;1.0;;64.0;99.0;164.0;;75.0;7417.02;52500.16
1072;2504;16;monthly issuance;1993-12-09;212.0;38.0;14.0;;32.0;91.0;137.0;;75.0;8862.61;40949.15
1073;358;12;monthly issuance;1993-12-09;282.0;9.0;;37.0;130.0;69.0;199.0;;83.0;902.14;18004.43
1074;2980;66;monthly issuance;1993-12-09;167.0;1.0;;36.0;32.0;66.0;98.0;;69.0;2062.67;19356.31
1075;3918;53;monthly issuance;1993-12-09;204.0;43.0;;;33.0;91.0;124.0;;80.0;3795.08;23601.76
1076;1680;59;monthly issuance;1993-12-10;205.0;38.0;;;32.0;98.0;130.0;;75.0;7488.04;45184.76
1077;3039;1;monthly issuance;1993-12-10;234.0;47.0;;;64.0;87.0;151.0;;83.0;3267.0;30082.28
1078;3380;64;monthly issuance;1993-12-10;197.0;49.0;;;33.0;78.0;111.0;;86.0;2939.18;28009.19
1079;2128;22;monthly issuance;1993-12-10;169.0;1.0;;37.0;32.0;62.0;94.0;;75.0;2265.98;17165.92
1080;903;47;monthly issuance;1993-12-10;205.0;13.0;;37.0;33.0;85.0;118.0;;87.0;1610.87;20369.83
1081;1762;28;monthly issuance;1993-12-11;120.0;22.0;;;33.0;50.0;83.0;;37.0;5453.37;36063.79
1082;61;70;monthly issuance;1993-12-11;196.0;1.0;;36.0;63.0;64.0;127.0;;69.0;1398.39;20520.23
1083;391;36;monthly issuance;1993-12-11;226.0;96.0;;;;93.0;93.0;;133.0;2062.74;33603.97
1084;2305;1;monthly issuance;1993-12-11;208.0;15.0;;36.0;;121.0;121.0;;87.0;1550.31;17454.59
1085;1588;67;monthly issuance;1993-12-11;192.0;21.0;;36.0;32.0;67.0;99.0;;93.0;1737.53;24839.07
1086;183;43;monthly issuance;1993-12-12;227.0;40.0;;;64.0;87.0;151.0;;76.0;4995.01;31872.8
1087;365;74;monthly issuance;1993-12-12;278.0;7.0;;36.0;127.0;72.0;197.0;2.0;79.0;5080.59;24871.77
