;frequency;date;# trans;oper #1;oper #2;oper #3;oper #4;oper #5;type #1;type #2;type #3;avg trans amount;avg trans balance;loan date;loan amount;loan duration (mths);loan payments;loan status;district_region;no. of inhabitants;no. of municipalities with inhabitants < 499 ;no. of municipalities with inhabitants 500-1999;no. of municipalities with inhabitants 2000-9999 ;no. of municipalities with inhabitants >10000 ;no. of cities ;ratio of urban inhabitants ;average salary ;unemploymant rate '95 ;unemploymant rate '96 ;no. of enterpreneurs per 1000 inhabitants ;no. of commited crimes '95 ;no. of commited crimes '96 ;card type;issued;birthdate;sex;has disponent
100;monthly issuance;1994-07-30;109.0;32.0;0.0;0.0;0.0;62.0;58.0;4.0;47.0;15887.99;64777.08;1996-02-29;380160;60;6336;1;north Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;;;1949-12-15;M;False
101;issuance after transaction;1995-07-05;27.0;9.0;0.0;0.0;0.0;13.0;11.0;2.0;14.0;13066.73;63188.63;1995-12-16;232560;48;4845;1;north Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;;;1970-01-29;F;False
102;monthly issuance;1993-02-08;24.0;2.0;0.0;5.0;3.0;6.0;9.0;0.0;15.0;5417.46;30060.95;1993-07-28;127080;60;2118;1;east Bohemia;77917;85;19;6;1;5;53.5;8390;2.28;2.89;132;2080;2122;;;1936-06-02;M;False
103;weekly issuance;1993-04-17;127.0;26.0;0.0;0.0;32.0;49.0;77.0;4.0;46.0;6214.37;25666.41;1994-12-21;115992;36;3222;1;east Bohemia;77917;85;19;6;1;5;53.5;8390;2.28;2.89;132;2080;2122;;;1937-05-17;M;False
104;monthly issuance;1993-06-26;67.0;14.0;0.0;0.0;8.0;33.0;41.0;0.0;26.0;8191.96;37913.0;1994-07-30;74736;36;2076;1;east Bohemia;77917;85;19;6;1;5;53.5;8390;2.28;2.89;132;2080;2122;;;1965-10-29;M;False
105;monthly issuance;1994-12-17;65.0;2.0;0.0;12.0;8.0;32.0;37.0;3.0;25.0;7701.99;37809.4;1995-12-18;204000;60;3400;1;east Bohemia;77917;85;19;6;1;5;53.5;8390;2.28;2.89;132;2080;2122;;;1944-05-06;M;False
106;monthly issuance;1993-02-10;78.0;7.0;0.0;15.0;0.0;41.0;36.0;5.0;37.0;4949.47;29380.84;1994-05-11;24312;12;2026;1;south Bohemia;93931;74;21;10;1;8;56.9;8427;1.12;1.54;107;1874;1913;;;1955-11-19;F;False
107;monthly issuance;1993-08-08;77.0;18.0;0.0;0.0;10.0;36.0;46.0;0.0;31.0;9089.42;40091.18;1994-10-30;170256;24;7094;1;south Bohemia;93931;74;21;10;1;8;56.9;8427;1.12;1.54;107;1874;1913;;;1965-07-16;F;False
108;monthly issuance;1994-10-19;125.0;1.0;0.0;18.0;28.0;60.0;84.0;4.0;37.0;12822.35;52523.24;1996-05-02;165960;24;6915;1;south Bohemia;93931;74;21;10;1;8;56.9;8427;1.12;1.54;107;1874;1913;;;1944-06-13;F;False
109;monthly issuance;1995-03-27;56.0;19.0;0.0;0.0;8.0;22.0;29.0;1.0;26.0;15972.28;72667.64;1995-11-12;60156;36;1671;-1;south Bohemia;93931;74;21;10;1;8;56.9;8427;1.12;1.54;107;1874;1913;;;1976-08-08;M;False
110;monthly issuance;1995-05-20;124.0;32.0;0.0;0.0;0.0;73.0;66.0;7.0;51.0;13280.08;56646.52;1996-12-25;115812;36;3217;1;south Bohemia;93931;74;21;10;1;8;56.9;8427;1.12;1.54;107;1874;1913;;;1953-06-01;M;False
111;monthly issuance;1996-06-25;11.0;7.0;0.0;0.0;0.0;1.0;1.0;0.0;10.0;4184.64;23324.94;1996-10-23;22968;36;638;1;south Bohemia;93931;74;21;10;1;8;56.9;8427;1.12;1.54;107;1874;1913;;;1950-07-27;F;False
112;monthly issuance;1993-02-13;37.0;12.0;0.0;0.0;8.0;12.0;18.0;2.0;17.0;11015.64;52083.86;1993-07-11;165960;36;4610;1;east Bohemia;112709;48;20;7;3;10;73.5;8369;1.79;2.31;117;2854;2618;;;1968-07-22;M;False
113;weekly issuance;1993-03-05;71.0;19.0;0.0;0.0;0.0;40.0;37.0;3.0;31.0;11301.57;51034.36;1994-03-31;212400;36;5900;1;north Bohemia;85852;41;23;4;2;4;59.8;8965;7.08;8.23;104;2653;2822;;;1966-10-24;F;False
114;monthly issuance;1993-03-12;110.0;31.0;0.0;0.0;12.0;49.0;59.0;2.0;49.0;9915.67;47420.84;1994-09-10;23628;12;1969;1;north Bohemia;85852;41;23;4;2;4;59.8;8965;7.08;8.23;104;2653;2822;;;1954-03-09;M;False
115;monthly issuance;1993-07-21;30.0;6.0;0.0;0.0;0.0;14.0;13.0;1.0;16.0;8145.61;36783.95;1994-06-07;87360;24;3640;1;north Bohemia;85852;41;23;4;2;4;59.8;8965;7.08;8.23;104;2653;2822;;;1962-07-10;M;False
116;monthly issuance;1993-08-01;151.0;29.0;0.0;0.0;52.0;52.0;104.0;0.0;47.0;2499.07;21368.91;1995-02-02;20832;48;434;1;north Bohemia;85852;41;23;4;2;4;59.8;8965;7.08;8.23;104;2653;2822;;;1948-05-04;M;False
117;monthly issuance;1994-04-21;86.0;17.0;0.0;0.0;18.0;39.0;57.0;0.0;29.0;4896.45;34577.3;1995-05-29;71064;36;1974;1;north Bohemia;85852;41;23;4;2;4;59.8;8965;7.08;8.23;104;2653;2822;;;1946-10-17;F;False
118;monthly issuance;1994-08-12;128.0;30.0;0.0;0.0;22.0;58.0;79.0;1.0;48.0;12136.38;70622.83;1996-02-24;123216;48;2567;1;north Bohemia;85852;41;23;4;2;4;59.8;8965;7.08;8.23;104;2653;2822;;;1977-08-12;F;True
119;monthly issuance;1995-07-27;66.0;17.0;0.0;0.0;7.0;31.0;36.0;2.0;28.0;13244.23;51611.34;1996-07-25;96768;36;2688;1;north Bohemia;85852;41;23;4;2;4;59.8;8965;7.08;8.23;104;2653;2822;;;1968-01-06;F;True
120;monthly issuance;1996-01-23;13.0;1.0;0.0;4.0;0.0;4.0;4.0;0.0;9.0;17599.44;47154.5;1996-06-06;176148;36;4893;1;north Bohemia;85852;41;23;4;2;4;59.8;8965;7.08;8.23;104;2653;2822;;;1963-11-20;F;False
121;monthly issuance;1993-03-08;70.0;15.0;0.0;0.0;8.0;35.0;43.0;0.0;27.0;6304.11;40976.94;1994-03-08;91632;12;7636;1;central Bohemia;94725;38;28;1;3;6;63.4;9920;2.26;2.87;130;4289;4846;;;1962-12-28;F;True
122;monthly issuance;1994-04-07;164.0;3.0;0.0;23.0;36.0;80.0;108.0;8.0;48.0;9457.76;49291.82;1996-02-08;63252;12;5271;1;central Bohemia;94725;38;28;1;3;6;63.4;9920;2.26;2.87;130;4289;4846;;;1949-06-24;F;False
123;weekly issuance;1993-03-15;47.0;13.0;0.0;0.0;0.0;25.0;23.0;2.0;22.0;10370.7;41562.32;1993-12-08;95400;36;2650;1;east Bohemia;75685;31;28;5;1;9;60.8;8208;1.89;2.26;155;1660;2123;;;1971-02-10;M;False
124;monthly issuance;1993-09-06;119.0;29.0;0.0;0.0;16.0;54.0;70.0;0.0;49.0;3181.77;29108.36;1995-06-06;63360;60;1056;1;east Bohemia;75685;31;28;5;1;9;60.8;8208;1.89;2.26;155;1660;2123;;;1955-08-14;M;True
125;monthly issuance;1993-03-18;98.0;25.0;0.0;0.0;0.0;51.0;39.0;12.0;47.0;8702.48;46061.32;1994-03-15;55368;24;2307;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1939-12-25;F;False
126;issuance after transaction;1993-04-14;42.0;14.0;0.0;0.0;4.0;16.0;19.0;1.0;22.0;12252.22;60382.09;1993-12-09;47016;12;3918;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1957-12-31;F;False
127;monthly issuance;1993-09-25;83.0;21.0;0.0;0.0;0.0;38.0;36.0;2.0;45.0;8156.79;45134.72;1994-10-12;227880;36;6330;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1955-11-04;F;True
128;monthly issuance;1993-11-10;167.0;42.0;0.0;0.0;14.0;77.0;83.0;8.0;76.0;13867.85;68740.02;1995-04-10;47304;24;1971;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1971-08-03;M;False
129;monthly issuance;1994-08-24;70.0;14.0;0.0;0.0;0.0;34.0;34.0;0.0;36.0;4598.14;38587.76;1995-08-26;33984;48;708;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1972-08-04;M;False
130;issuance after transaction;1994-11-13;136.0;2.0;0.0;19.0;0.0;79.0;72.0;7.0;57.0;14897.4;51149.66;1996-06-13;360000;48;7500;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1973-03-07;F;False
131;monthly issuance;1995-01-05;172.0;50.0;0.0;0.0;0.0;101.0;91.0;10.0;71.0;15182.1;64044.05;1996-10-29;372120;60;6202;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1945-01-26;M;True
132;weekly issuance;1995-01-19;149.0;27.0;0.0;0.0;0.0;65.0;59.0;6.0;84.0;8240.56;50492.69;1996-09-26;96168;12;8014;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1972-08-12;F;False
133;monthly issuance;1995-04-02;22.0;2.0;0.0;5.0;1.0;9.0;7.0;3.0;12.0;10873.77;42203.17;1995-09-09;188688;48;3931;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1965-07-23;F;False
134;monthly issuance;1995-04-05;85.0;23.0;0.0;0.0;0.0;47.0;46.0;1.0;38.0;15232.29;65066.74;1996-08-11;85632;48;1784;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1949-04-07;F;False
135;monthly issuance;1995-07-14;92.0;30.0;0.0;0.0;11.0;36.0;47.0;0.0;45.0;3104.78;25997.56;1996-11-12;276300;60;4605;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1976-07-06;M;False
136;monthly issuance;1995-08-15;64.0;17.0;0.0;0.0;12.0;25.0;37.0;0.0;27.0;6433.18;32404.77;1996-07-23;444864;48;9268;1;south Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;;;1964-03-29;M;True
137;weekly issuance;1993-03-19;68.0;22.0;0.0;0.0;0.0;37.0;28.0;9.0;31.0;13335.8;51760.02;1993-12-01;464520;60;7742;-1;central Bohemia;77963;60;23;4;2;4;51.5;8546;2.95;4.02;126;2640;3120;;;1940-12-02;F;False
138;monthly issuance;1993-03-19;78.0;17.0;0.0;0.0;0.0;47.0;47.0;0.0;31.0;4748.17;33857.11;1994-06-12;69360;48;1445;1;central Bohemia;75637;35;36;9;0;7;36.5;9622;0.45;0.59;154;3475;3529;;;1941-07-28;M;False
139;monthly issuance;1993-04-21;54.0;2.0;0.0;9.0;5.0;29.0;32.0;2.0;20.0;6682.03;36845.59;1994-02-07;149040;48;3105;1;central Bohemia;75637;35;36;9;0;7;36.5;9622;0.45;0.59;154;3475;3529;;;1968-12-20;F;False
140;monthly issuance;1993-05-20;132.0;1.0;0.0;23.0;0.0;86.0;74.0;12.0;46.0;11683.99;47118.99;1995-04-13;126600;24;5275;1;central Bohemia;75637;35;36;9;0;7;36.5;9622;0.45;0.59;154;3475;3529;;;1939-02-27;M;False
141;monthly issuance;1993-07-05;52.0;3.0;0.0;10.0;0.0;30.0;28.0;2.0;22.0;15464.4;61531.59;1994-05-20;80340;12;6695;1;central Bohemia;75637;35;36;9;0;7;36.5;9622;0.45;0.59;154;3475;3529;;;1976-02-06;F;True
142;monthly issuance;1993-08-18;15.0;6.0;0.0;0.0;0.0;3.0;3.0;0.0;12.0;5323.55;25714.05;1993-12-21;86616;12;7218;1;central Bohemia;75637;35;36;9;0;7;36.5;9622;0.45;0.59;154;3475;3529;;;1961-09-28;M;False
143;monthly issuance;1993-10-20;43.0;11.0;0.0;0.0;5.0;19.0;24.0;0.0;19.0;6392.97;37570.63;1994-07-16;50460;60;841;1;central Bohemia;75637;35;36;9;0;7;36.5;9622;0.45;0.59;154;3475;3529;;;1947-10-17;F;False
144;monthly issuance;1993-12-08;161.0;4.0;0.0;22.0;35.0;79.0;105.0;9.0;47.0;12514.36;50676.82;1995-10-28;260028;36;7223;1;central Bohemia;75637;35;36;9;0;7;36.5;9622;0.45;0.59;154;3475;3529;;;1976-11-25;M;False
145;monthly issuance;1995-07-22;12.0;6.0;0.0;0.0;0.0;3.0;3.0;0.0;9.0;6363.32;26886.19;1995-11-28;137904;24;5746;-1;central Bohemia;75637;35;36;9;0;7;36.5;9622;0.45;0.59;154;3475;3529;;;1968-05-06;M;False
146;monthly issuance;1993-03-20;152.0;39.0;0.0;0.0;28.0;69.0;93.0;4.0;55.0;13525.02;65097.22;1994-07-05;111384;24;4641;1;south Bohemia;51428;50;11;3;1;4;52.7;8402;3.13;3.98;120;999;1099;;;1967-02-10;M;False
147;monthly issuance;1993-09-18;148.0;24.0;0.0;0.0;17.0;67.0;84.0;0.0;64.0;5332.35;35566.88;1995-06-23;265320;36;7370;1;south Bohemia;51428;50;11;3;1;4;52.7;8402;3.13;3.98;120;999;1099;;;1948-08-28;F;True
148;monthly issuance;1994-04-27;90.0;18.0;0.0;0.0;12.0;45.0;57.0;0.0;33.0;7594.23;48152.95;1995-08-29;45336;24;1889;1;south Bohemia;51428;50;11;3;1;4;52.7;8402;3.13;3.98;120;999;1099;;;1957-04-29;M;False
149;monthly issuance;1994-11-21;59.0;1.0;0.0;12.0;0.0;35.0;33.0;2.0;24.0;17539.8;67475.9;1995-11-18;182040;60;3034;1;south Bohemia;51428;50;11;3;1;4;52.7;8402;3.13;3.98;120;999;1099;;;1951-03-24;F;True
150;weekly issuance;1995-04-09;89.0;21.0;0.0;0.0;23.0;36.0;56.0;3.0;30.0;11582.99;54137.11;1996-01-01;189696;24;7904;1;south Bohemia;51428;50;11;3;1;4;52.7;8402;3.13;3.98;120;999;1099;;;1945-09-24;M;True
151;weekly issuance;1995-04-15;95.0;1.0;0.0;18.0;0.0;59.0;53.0;6.0;36.0;15418.11;58855.28;1996-10-16;396120;60;6602;1;south Bohemia;51428;50;11;3;1;4;52.7;8402;3.13;3.98;120;999;1099;;;1950-01-02;F;False
152;monthly issuance;1993-03-22;118.0;23.0;0.0;0.0;42.0;38.0;78.0;2.0;38.0;7375.63;26252.81;1994-06-17;174744;24;7281;-1;north Bohemia;125236;28;11;1;4;5;87.7;9675;6.43;7.68;100;5323;5190;;;1978-11-21;F;False
153;monthly issuance;1994-03-19;34.0;10.0;0.0;0.0;1.0;13.0;14.0;0.0;20.0;12283.39;50113.19;1995-03-29;185952;48;3874;1;north Bohemia;125236;28;11;1;4;5;87.7;9675;6.43;7.68;100;5323;5190;;;1945-02-22;M;False
154;monthly issuance;1995-04-22;18.0;7.0;0.0;0.0;1.0;5.0;6.0;0.0;12.0;9232.25;38509.05;1995-10-08;21852;36;607;1;north Bohemia;125236;28;11;1;4;5;87.7;9675;6.43;7.68;100;5323;5190;;;1954-12-05;M;False
155;weekly issuance;1993-03-22;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5025.0;12250.0;1993-07-05;96396;12;8033;-1;west Bohemia;94812;15;13;8;2;10;81.8;9650;3.38;3.67;100;2985;2804;;;1947-07-22;F;False
156;monthly issuance;1993-09-13;71.0;13.0;0.0;0.0;0.0;32.0;29.0;3.0;39.0;6031.73;33459.68;1994-06-04;52128;24;2172;1;west Bohemia;94812;15;13;8;2;10;81.8;9650;3.38;3.67;100;2985;2804;;;1959-07-17;F;False
157;monthly issuance;1993-03-24;93.0;1.0;0.0;17.0;0.0;59.0;50.0;9.0;34.0;14537.8;57496.99;1994-08-25;224604;36;6239;1;west Bohemia;51313;34;12;3;1;4;59.2;8930;3.52;4.2;108;1328;1452;;;1976-05-24;M;True
158;monthly issuance;1993-03-29;125.0;30.0;0.0;0.0;0.0;75.0;75.0;0.0;50.0;4768.64;30229.8;1994-12-20;36684;12;3057;1;west Bohemia;51313;34;12;3;1;4;59.2;8930;3.52;4.2;108;1328;1452;;;1978-09-23;F;False
159;issuance after transaction;1993-11-17;65.0;16.0;0.0;0.0;0.0;37.0;30.0;7.0;28.0;11809.26;41752.16;1994-11-19;164052;36;4557;-1;west Bohemia;51313;34;12;3;1;4;59.2;8930;3.52;4.2;108;1328;1452;;;1975-09-12;F;False
160;weekly issuance;1994-05-22;108.0;34.0;0.0;0.0;11.0;47.0;48.0;10.0;50.0;12019.66;52379.13;1995-12-12;104712;24;4363;1;west Bohemia;51313;34;12;3;1;4;59.2;8930;3.52;4.2;108;1328;1452;;;1970-10-07;F;True
161;weekly issuance;1994-05-22;109.0;34.0;0.0;0.0;11.0;48.0;48.0;11.0;50.0;12039.47;50436.47;1995-12-12;92976;24;3874;1;west Bohemia;51313;34;12;3;1;4;59.2;8930;3.52;4.2;108;1328;1452;;;1970-10-07;F;True
162;weekly issuance;1995-02-20;79.0;1.0;0.0;13.0;9.0;44.0;44.0;9.0;26.0;16141.21;57124.27;1996-03-13;202788;36;5633;1;west Bohemia;51313;34;12;3;1;4;59.2;8930;3.52;4.2;108;1328;1452;;;1953-07-20;F;False
163;issuance after transaction;1995-10-09;13.0;5.0;0.0;0.0;0.0;4.0;4.0;0.0;9.0;13997.22;45099.26;1996-02-12;72408;24;3017;-1;west Bohemia;51313;34;12;3;1;4;59.2;8930;3.52;4.2;108;1328;1452;;;1958-06-13;F;False
164;weekly issuance;1996-01-07;71.0;1.0;0.0;11.0;20.0;29.0;45.0;4.0;22.0;9739.4;32967.71;1996-11-28;61560;12;5130;1;west Bohemia;51313;34;12;3;1;4;59.2;8930;3.52;4.2;108;1328;1452;;;1943-01-04;M;False
165;monthly issuance;1993-03-28;81.0;14.0;0.0;0.0;8.0;37.0;45.0;0.0;36.0;6436.61;46444.64;1994-03-30;7656;24;319;1;east Bohemia;78955;50;24;8;1;9;59.0;9060;1.78;2.44;124;1655;1717;;;1962-09-03;F;True
166;monthly issuance;1993-07-27;166.0;12.0;0.0;22.0;51.0;60.0;106.0;5.0;55.0;4654.09;24908.76;1995-05-30;158760;60;2646;1;east Bohemia;78955;50;24;8;1;9;59.0;9060;1.78;2.44;124;1655;1717;;;1978-01-31;M;False
167;weekly issuance;1993-09-15;89.0;7.0;0.0;16.0;0.0;51.0;44.0;7.0;38.0;6024.03;24523.07;1995-01-14;137880;60;2298;-1;east Bohemia;78955;50;24;8;1;9;59.0;9060;1.78;2.44;124;1655;1717;;;1963-03-12;M;False
168;monthly issuance;1995-03-15;93.0;2.0;0.0;18.0;0.0;56.0;51.0;5.0;37.0;7273.76;34005.91;1996-09-16;181020;60;3017;1;east Bohemia;78955;50;24;8;1;9;59.0;9060;1.78;2.44;124;1655;1717;;;1966-06-14;F;True
169;monthly issuance;1993-03-30;120.0;31.0;0.0;0.0;0.0;70.0;59.0;11.0;50.0;13441.43;54157.19;1995-01-16;347952;48;7249;1;west Bohemia;45714;52;10;5;1;6;55.6;8843;2.82;3.6;113;818;888;;;1964-10-30;F;False
170;monthly issuance;1993-11-16;64.0;19.0;0.0;0.0;0.0;33.0;31.0;2.0;31.0;13410.82;52299.29;1994-12-08;51408;24;2142;1;west Bohemia;45714;52;10;5;1;6;55.6;8843;2.82;3.6;113;818;888;;;1949-07-24;M;False
171;monthly issuance;1993-11-20;74.0;22.0;0.0;0.0;8.0;25.0;33.0;0.0;41.0;10583.99;58445.03;1995-06-01;417060;60;6951;1;west Bohemia;45714;52;10;5;1;6;55.6;8843;2.82;3.6;113;818;888;;;1961-09-14;F;True
172;monthly issuance;1995-11-29;59.0;16.0;0.0;0.0;0.0;31.0;30.0;1.0;28.0;11725.49;55230.44;1996-12-15;222180;60;3703;-1;west Bohemia;45714;52;10;5;1;6;55.6;8843;2.82;3.6;113;818;888;;;1939-03-20;M;False
173;monthly issuance;1993-04-02;112.0;1.0;0.0;16.0;12.0;51.0;59.0;4.0;49.0;11551.5;48484.62;1994-08-11;74688;12;6224;1;west Bohemia;87419;21;11;4;3;9;85.5;8624;1.79;2.66;102;2879;3198;;;1945-01-26;F;True
174;monthly issuance;1993-10-03;47.0;13.0;0.0;0.0;0.0;27.0;24.0;3.0;20.0;10472.5;49143.97;1994-05-22;196080;48;4085;1;west Bohemia;87419;21;11;4;3;9;85.5;8624;1.79;2.66;102;2879;3198;;;1958-05-27;M;False
175;monthly issuance;1993-04-12;87.0;18.0;0.0;0.0;8.0;35.0;43.0;0.0;44.0;3441.2;30045.4;1994-05-09;89040;60;1484;1;north Moravia;148545;8;35;12;3;4;53.5;8909;4.01;5.56;113;3460;3590;;;1970-01-25;F;True
176;issuance after transaction;1993-06-23;75.0;1.0;0.0;13.0;0.0;49.0;42.0;7.0;26.0;17396.59;61218.66;1994-07-11;173808;24;7242;1;north Moravia;148545;8;35;12;3;4;53.5;8909;4.01;5.56;113;3460;3590;;;1957-01-27;F;True
177;monthly issuance;1996-05-03;14.0;7.0;0.0;0.0;0.0;3.0;3.0;0.0;11.0;11392.24;42930.21;1996-09-14;48744;36;1354;1;north Moravia;148545;8;35;12;3;4;53.5;8909;4.01;5.56;113;3460;3590;;;1964-04-14;F;False
178;monthly issuance;1993-04-14;32.0;11.0;0.0;0.0;0.0;16.0;14.0;2.0;16.0;11557.95;37485.46;1993-09-24;174744;24;7281;-1;west Bohemia;122603;25;21;6;2;8;80.0;8991;1.39;2.01;128;5198;5273;;;1948-08-12;F;False
179;issuance after transaction;1993-09-03;49.0;12.0;0.0;0.0;10.0;22.0;30.0;2.0;17.0;10548.36;46576.28;1994-02-17;49320;12;4110;-1;west Bohemia;122603;25;21;6;2;8;80.0;8991;1.39;2.01;128;5198;5273;;;1945-10-03;F;False
180;monthly issuance;1993-09-10;112.0;26.0;0.0;0.0;26.0;44.0;70.0;0.0;42.0;3938.21;22360.54;1995-02-23;97224;24;4051;1;west Bohemia;122603;25;21;6;2;8;80.0;8991;1.39;2.01;128;5198;5273;;;1951-04-07;F;True
181;monthly issuance;1993-11-27;90.0;27.0;0.0;0.0;0.0;50.0;46.0;4.0;40.0;16058.69;59701.79;1995-01-30;95808;12;7984;1;west Bohemia;122603;25;21;6;2;8;80.0;8991;1.39;2.01;128;5198;5273;;;1940-09-07;M;False
182;monthly issuance;1994-11-10;169.0;26.0;0.0;0.0;54.0;68.0;122.0;0.0;47.0;4099.69;29941.91;1996-09-25;15192;24;633;1;west Bohemia;122603;25;21;6;2;8;80.0;8991;1.39;2.01;128;5198;5273;;;1972-12-27;F;False
183;monthly issuance;1995-05-28;69.0;16.0;0.0;0.0;0.0;40.0;40.0;0.0;29.0;6600.44;43121.76;1996-07-11;19044;36;529;1;west Bohemia;122603;25;21;6;2;8;80.0;8991;1.39;2.01;128;5198;5273;;;1974-04-05;F;False
184;monthly issuance;1993-04-19;82.0;23.0;0.0;0.0;17.0;30.0;47.0;0.0;35.0;2011.23;22551.78;1994-05-26;63312;48;1319;1;central Bohemia;149893;63;29;6;2;6;67.4;9753;4.64;5.05;109;5244;5892;;;1956-05-07;F;False
185;monthly issuance;1993-09-08;15.0;7.0;0.0;0.0;0.0;2.0;2.0;0.0;13.0;3164.47;21575.69;1994-01-21;21072;24;878;1;central Bohemia;149893;63;29;6;2;6;67.4;9753;4.64;5.05;109;5244;5892;;;1964-08-09;F;False
186;issuance after transaction;1994-11-02;30.0;1.0;0.0;7.0;3.0;13.0;15.0;1.0;14.0;17833.45;72242.9;1995-05-24;189060;60;3151;1;central Bohemia;149893;63;29;6;2;6;67.4;9753;4.64;5.05;109;5244;5892;;;1958-12-30;F;False
187;monthly issuance;1995-10-15;54.0;20.0;0.0;0.0;11.0;14.0;25.0;0.0;29.0;3029.89;21568.94;1996-08-25;402000;60;6700;1;central Bohemia;149893;63;29;6;2;6;67.4;9753;4.64;5.05;109;5244;5892;;;1980-08-06;M;False
188;weekly issuance;1993-04-20;32.0;10.0;0.0;0.0;0.0;16.0;14.0;2.0;16.0;9740.15;46715.8;1993-10-13;154416;48;3217;1;south Bohemia;70699;60;13;2;1;4;65.3;8968;2.83;3.35;131;1740;1910;;;1969-05-25;F;False
189;monthly issuance;1993-04-29;66.0;15.0;0.0;0.0;15.0;27.0;41.0;1.0;24.0;10342.53;45854.89;1994-02-27;300660;60;5011;1;north Bohemia;128118;9;16;6;3;8;85.3;9317;6.49;7.07;97;6949;6872;;;1950-01-07;M;False
190;monthly issuance;1993-05-23;151.0;32.0;0.0;0.0;34.0;64.0;98.0;0.0;53.0;3142.18;24577.2;1995-03-21;15420;12;1285;1;north Bohemia;128118;9;16;6;3;8;85.3;9317;6.49;7.07;97;6949;6872;;;1965-06-04;F;False
191;monthly issuance;1993-09-22;46.0;1.0;0.0;9.0;8.0;20.0;27.0;1.0;18.0;9689.68;40061.58;1994-06-23;239460;60;3991;1;north Bohemia;128118;9;16;6;3;8;85.3;9317;6.49;7.07;97;6949;6872;;;1942-09-13;F;False
192;weekly issuance;1994-09-02;190.0;40.0;0.0;0.0;19.0;89.0;98.0;10.0;82.0;11952.68;61578.3;1996-06-08;186384;48;3883;1;north Bohemia;128118;9;16;6;3;8;85.3;9317;6.49;7.07;97;6949;6872;;;1959-01-29;M;False
193;issuance after transaction;1996-05-11;31.0;10.0;0.0;0.0;0.0;15.0;14.0;1.0;16.0;14850.77;62778.09;1996-11-06;88440;12;7370;1;north Bohemia;128118;9;16;6;3;8;85.3;9317;6.49;7.07;97;6949;6872;;;1945-07-03;F;True
194;monthly issuance;1993-05-06;79.0;22.0;0.0;0.0;0.0;46.0;43.0;3.0;33.0;14332.41;63707.63;1994-04-06;167100;60;2785;1;south Moravia;145688;22;41;13;2;5;40.7;8544;1.29;1.86;109;2719;2906;;;1970-01-17;F;True
195;monthly issuance;1993-09-21;148.0;22.0;0.0;0.0;47.0;60.0;107.0;0.0;41.0;2960.7;30847.15;1995-05-30;87216;48;1817;1;south Moravia;145688;22;41;13;2;5;40.7;8544;1.29;1.86;109;2719;2906;;;1954-03-16;F;False
196;monthly issuance;1994-07-28;76.0;2.0;0.0;15.0;0.0;45.0;43.0;2.0;31.0;7485.5;42164.03;1995-10-31;37908;12;3159;1;south Moravia;145688;22;41;13;2;5;40.7;8544;1.29;1.86;109;2719;2906;;;1976-05-08;F;False
197;monthly issuance;1995-02-08;88.0;1.0;1.0;15.0;0.0;57.0;49.0;9.0;30.0;13875.42;60781.31;1996-05-18;320592;48;6679;1;south Moravia;145688;22;41;13;2;5;40.7;8544;1.29;1.86;109;2719;2906;classic;1996-02-21;1970-11-09;F;True
198;monthly issuance;1996-03-28;40.0;2.0;0.0;8.0;7.0;16.0;23.0;0.0;17.0;9227.6;37802.23;1996-11-25;182640;48;3805;1;south Moravia;145688;22;41;13;2;5;40.7;8544;1.29;1.86;109;2719;2906;;;1942-04-19;F;False
199;monthly issuance;1996-06-07;17.0;7.0;0.0;0.0;1.0;5.0;6.0;0.0;11.0;8573.59;33613.11;1996-11-15;46176;48;962;1;south Moravia;145688;22;41;13;2;5;40.7;8544;1.29;1.86;109;2719;2906;;;1966-11-03;M;False
200;monthly issuance;1996-06-16;26.0;9.0;0.0;0.0;0.0;13.0;12.0;1.0;13.0;15435.06;62590.42;1996-10-31;192744;36;5354;1;south Moravia;145688;22;41;13;2;5;40.7;8544;1.29;1.86;109;2719;2906;;;1964-03-14;M;True
